,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
119,,,0.0833,880770102,2021-06-07,Sell,ARKQ,TERADYNE INC,18760,TER
120,,,0.0087,G3770A102,2021-06-07,Sell,ARKQ,GALILEO ACQUISITION CORP,25456,GLEO
121,,,0.2127,91332U101,2021-06-07,Buy,ARKW,UNITY SOFTWARE INC,119085,U
122,,,0.0608,771049103,2021-06-07,Sell,ARKW,ROBLOX CORP,35067,RBLX
123,,,0.1131,83304A106,2021-06-07,Sell,ARKW,SNAP INC,101294,SNAP
124,,,0.1325,46269C102,2021-06-07,Buy,ARKX,IRIDIUM COMMUNICATIONS INC,21888,IRDM
125,,,0.5035,896239100,2021-06-07,Buy,ARKX,TRIMBLE INC,40508,TRMB
126,,,0.2502,H2906T109,2021-06-07,Sell,ARKX,GARMIN LTD,11000,GRMN
127,,,0.2523,67066G104,2021-06-07,Sell,ARKX,NVIDIA CORP,2257,NVDA
128,,,0.1305,848574109,2021-06-07,Sell,ARKX,SPIRIT AEROSYSTEMS HOLDINGS INC,15879,SPR
129,,,0.1967,02079K107,2021-06-04,Buy,ARKF,ALPHABET INC,2895,GOOG
130,,,0.0025,48581R205,2021-06-04,Buy,ARKF,KASPI.KZ JSC,962,KSPILI
131,,,0.1856,87238U203,2021-06-04,Sell,ARKF,TCS GROUP HOLDING PLC,94812,TCSLI
132,,,0.0051,07373V105,2021-06-04,Buy,ARKG,BEAM THERAPEUTICS INC,5000,BEAM
133,,,0.01,084310101,2021-06-04,Buy,ARKG,BERKELEY LIGHTS INC,20000,BLI
134,,,0.0001,125842203,2021-06-04,Buy,ARKG,CM LIFE SCIENCES II INC,500,CMIIU
135,,,0.0069,760273102,2021-06-04,Buy,ARKG,REPARE THERAPEUTICS INC,18285,RPTX
136,,,0.01,72940R300,2021-06-04,Sell,ARKG,PLURISTEM THERAPEUTICS INC,193999,PSTI
137,,,0.0024,H17182108,2021-06-04,Buy,ARKK,CRISPR THERAPEUTICS AG,4451,CRSP
138,,,0.0601,91332U101,2021-06-04,Buy,ARKK,UNITY SOFTWARE INC,129905,U
139,,,0.0144,88160R101,2021-06-04,Buy,ARKK,TESLA INC,4977,TSLA
140,,,0.0073,69404D108,2021-06-04,Buy,ARKK,PACIFIC BIOSCIENCES OF CALIFORNIA INC,57325,PACB
141,,,0.0003,87184Q107,2021-06-04,Sell,ARKK,SYROS PHARMACEUTICALS INC,10000,SYRS
142,,,0.0003,68620A203,2021-06-04,Sell,ARKK,ORGANOVO HOLDINGS INC,7000,ONVO
143,,,0.0087,44852D108,2021-06-04,Sell,ARKK,HUYA INC,119859,HUYA
144,,,0.1469,91332U101,2021-06-04,Buy,ARKQ,UNITY SOFTWARE INC,45593,U
145,,,0.0612,88160R101,2021-06-04,Buy,ARKQ,TESLA INC,3068,TSLA
146,,,0.0384,65481N100,2021-06-04,Buy,ARKQ,NIU TECHNOLOGIES,33365,NIU
147,,,0.0221,50077B207,2021-06-04,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,25104,KTOS
148,,,0.3895,880770102,2021-06-04,Sell,ARKQ,TERADYNE INC,87800,TER
149,,,0.004,G3770A102,2021-06-04,Sell,ARKQ,GALILEO ACQUISITION CORP,11664,GLEO
150,,,0.0521,88160R101,2021-06-04,Buy,ARKW,TESLA INC,4718,TSLA
151,,,0.0973,256163106,2021-06-04,Sell,ARKW,DOCUSIGN INC,23071,DOCU
152,,,0.102,64110L106,2021-06-04,Sell,ARKW,NETFLIX INC,11102,NFLX
153,,,0.0805,G7483N129,2021-06-04,Buy,ARKX,REINVENT TECHNOLOGY PARTNERS,50733,RTP
154,,,0.3008,02079K107,2021-06-03,Buy,ARKF,ALPHABET INC,4496,GOOG
155,,,0.013,48581R205,2021-06-03,Buy,ARKF,KASPI.KZ JSC,4866,KSPILI
