,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
747,,,0.0091,66987V109,2021-05-11,Sell,ARKK,NOVARTIS AG,21128,NVS
748,,,0.1621,871607107,2021-05-11,Sell,ARKK,SYNOPSYS INC,142700,SNPS
749,,,0.1755,75886F107,2021-05-11,Sell,ARKK,REGENERON PHARMACEUTICALS INC,70302,REGN
750,,,0.0438,44852D108,2021-05-11,Sell,ARKK,HUYA INC,568900,HUYA
751,,,0.0233,654445303,2021-05-11,Sell,ARKK,NINTENDO CO LTD,65800,NTDOY
752,,,0.0005,68620A203,2021-05-11,Sell,ARKK,ORGANOVO HOLDINGS INC,13067,ONVO
753,,,0.0088,G7000X105,2021-05-11,Buy,ARKQ,ONE,25811,AONE
754,,,0.1259,90364P105,2021-05-11,Buy,ARKQ,UIPATH INC,50075,PATH
755,,,0.7356,50077B207,2021-05-11,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,854010,KTOS
756,,,0.428,98138J206,2021-05-11,Sell,ARKQ,WORKHORSE GROUP INC,1507061,WKHS
757,,,0.0281,500458401,2021-05-11,Sell,ARKQ,KOMATSU LTD,27085,KMTUY
758,,,0.1475,02079K107,2021-05-11,Sell,ARKQ,ALPHABET INC,1861,GOOG
759,,,0.1004,77543R102,2021-05-11,Buy,ARKW,ROKU INC,18000,ROKU
760,,,0.2116,69608A108,2021-05-11,Buy,ARKW,PALANTIR TECHNOLOGIES INC,667300,PLTR
761,,,0.1282,90364P105,2021-05-11,Buy,ARKW,UIPATH INC,99994,PATH
762,,,0.1523,45866F104,2021-05-11,Sell,ARKW,INTERCONTINENTAL EXCHANGE INC,76202,ICE
763,,,0.0436,00851L103,2021-05-11,Sell,ARKW,AGORA INC,61401,API
764,,,0.0886,00783V104,2021-05-11,Sell,ARKW,ADYEN NV,116085,ADYEY
765,,,0.0893,52603B107,2021-05-11,Sell,ARKW,LENDINGTREE INC,29471,TREE
766,,,0.1258,00214Q500,2021-05-11,Buy,ARKX,THE 3D PRINTING ETF,21840,PRNT
767,,,0.2433,47215P106,2021-05-11,Buy,ARKX,JD.COM INC,21439,JD
768,,,0.1092,46269C102,2021-05-11,Buy,ARKX,IRIDIUM COMMUNICATIONS INC,19044,IRDM
769,,,0.3919,880770102,2021-05-11,Buy,ARKX,TERADYNE INC,21221,TER
770,,,0.1954,244199105,2021-05-11,Sell,ARKX,DEERE & CO,3222,DE
771,,,0.7655,92766K106,2021-05-11,Sell,ARKX,VIRGIN GALACTIC HOLDINGS INC,293962,SPCE
772,,,0.2596,19260Q107,2021-05-10,Buy,ARKF,COINBASE GLOBAL INC,33300,COIN
773,,,0.305,90138F102,2021-05-10,Buy,ARKF,TWILIO INC,37705,TWLO
774,,,0.4911,G9835C108,2021-05-10,Sell,ARKF,YEAHKA LTD,315600,9923HK
775,,,0.3057,037833100,2021-05-10,Sell,ARKF,APPLE INC,87560,AAPL
776,,,0.1099,82837P408,2021-05-10,Sell,ARKF,SILVERGATE CAPITAL CORP,45900,SI
777,,,0.1279,90364P105,2021-05-10,Buy,ARKG,UIPATH INC,160127,PATH
778,,,0.0105,760273102,2021-05-10,Buy,ARKG,REPARE THERAPEUTICS INC,26100,RPTX
779,,,0.008,86877M209,2021-05-10,Buy,ARKG,SURFACE ONCOLOGY INC,84328,SURF
780,,,0.1582,92337F107,2021-05-10,Buy,ARKG,VERACYTE INC,300400,VCYT
781,,,0.0565,65443P102,2021-05-10,Buy,ARKG,908 DEVICES INC,93926,MASS
782,,,0.0605,462222100,2021-05-10,Buy,ARKG,IONIS PHARMACEUTICALS INC,134100,IONS
783,,,0.0483,31189P102,2021-05-10,Buy,ARKG,FATE THERAPEUTICS INC,52093,FATE
784,,,0.0525,00650F109,2021-05-10,Buy,ARKG,ADAPTIVE BIOTECHNOLOGIES CORP,132238,ADPT
785,,,0.1588,14167L103,2021-05-10,Buy,ARKG,CAREDX INC,183588,CDNA
786,,,0.0049,192005106,2021-05-10,Buy,ARKG,CODEXIS INC,22600,CDXS
787,,,0.0043,125842203,2021-05-10,Buy,ARKG,CM LIFE SCIENCES II INC,28153,CMIIU
788,,,0.2407,771195104,2021-05-10,Sell,ARKG,ROCHE HOLDING AG,464000,RHHBY
789,,,0.0289,63009R109,2021-05-10,Sell,ARKG,NANOSTRING TECHNOLOGIES INC,37609,NSTG
790,,,0.0553,874060205,2021-05-10,Sell,ARKG,TAKEDA PHARMACEUTICAL CO LTD,260876,TAK
791,,,0.1765,803607100,2021-05-10,Sell,ARKG,SAREPTA THERAPEUTICS INC,198800,SRPT
792,,,0.033,71944F106,2021-05-10,Sell,ARKG,PHREESIA INC,59423,PHR
793,,,0.0995,69608A108,2021-05-10,Buy,ARKK,PALANTIR TECHNOLOGIES INC,1070331,PLTR
794,,,0.0365,90364P105,2021-05-10,Buy,ARKK,UIPATH INC,112173,PATH
795,,,0.1563,90138F102,2021-05-10,Buy,ARKK,TWILIO INC,107013,TWLO
796,,,0.0775,31189P102,2021-05-10,Buy,ARKK,FATE THERAPEUTICS INC,204170,FATE
797,,,0.1511,26142R104,2021-05-10,Buy,ARKK,DRAFTKINGS INC,669101,DKNG
798,,,0.0449,084310101,2021-05-10,Buy,ARKK,BERKELEY LIGHTS INC,189702,BLI
799,,,0.1058,88025U109,2021-05-10,Buy,ARKK,10X GENOMICS INC,154988,TXG
800,,,0.021,90089L108,2021-05-10,Buy,ARKK,TUSIMPLE HOLDINGS INC,112917,TSP
801,,,0.1484,07373V105,2021-05-10,Buy,ARKK,BEAM THERAPEUTICS INC,455388,BEAM
802,,,0.2612,880770102,2021-05-10,Buy,ARKK,TERADYNE INC,417298,TER
803,,,0.2758,482497104,2021-05-10,Sell,ARKK,KE HOLDINGS INC,1203800,BEKE
804,,,0.0452,52603B107,2021-05-10,Sell,ARKK,LENDINGTREE INC,52004,TREE
805,,,0.175,871607107,2021-05-10,Sell,ARKK,SYNOPSYS INC,148000,SNPS
806,,,0.1014,75886F107,2021-05-10,Sell,ARKK,REGENERON PHARMACEUTICALS INC,40108,REGN
807,,,0.0484,654445303,2021-05-10,Sell,ARKK,NINTENDO CO LTD,136400,NTDOY
808,,,0.147,45866F104,2021-05-10,Sell,ARKK,INTERCONTINENTAL EXCHANGE INC,254712,ICE
809,,,0.0205,44852D108,2021-05-10,Sell,ARKK,HUYA INC,261500,HUYA
810,,,0.3281,056752108,2021-05-10,Sell,ARKK,BAIDU INC,355375,BIDU
811,,,0.0719,50077B207,2021-05-10,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,81376,KTOS
812,,,0.3243,46269C102,2021-05-10,Buy,ARKQ,IRIDIUM COMMUNICATIONS INC,255121,IRDM
813,,,0.0172,G7000X105,2021-05-10,Buy,ARKQ,ONE,50400,AONE
814,,,0.1295,90364P105,2021-05-10,Buy,ARKQ,UIPATH INC,59601,PATH
815,,,0.2507,879360105,2021-05-10,Sell,ARKQ,TELEDYNE TECHNOLOGIES INC,16857,TDY
816,,,0.3442,92766K106,2021-05-10,Sell,ARKQ,VIRGIN GALACTIC HOLDINGS INC,557955,SPCE
817,,,0.0316,500458401,2021-05-10,Sell,ARKQ,KOMATSU LTD,29405,KMTUY
818,,,0.1542,90138F102,2021-05-10,Buy,ARKW,TWILIO INC,29955,TWLO
819,,,0.3337,88339J105,2021-05-10,Buy,ARKW,TRADE DESK INC/THE,35673,TTD
820,,,0.1486,26142R104,2021-05-10,Buy,ARKW,DRAFTKINGS INC,182020,DKNG
821,,,0.1233,63008G203,2021-05-10,Buy,ARKW,NANO DIMENSION LTD,1077701,NNDM
822,,,0.0979,69608A108,2021-05-10,Buy,ARKW,PALANTIR TECHNOLOGIES INC,294177,PLTR
823,,,0.1213,90364P105,2021-05-10,Buy,ARKW,UIPATH INC,108374,PATH
824,,,0.1995,722304102,2021-05-10,Buy,ARKW,PINDUODUO INC,95828,PDD
825,,,0.2061,74624M102,2021-05-10,Sell,ARKW,PURE STORAGE INC,643378,PSTG
826,,,0.4872,683712103,2021-05-10,Sell,ARKW,OPENDOOR TECHNOLOGIES INC,1617801,OPEN
827,,,0.3546,056752108,2021-05-10,Sell,ARKW,BAIDU INC,108346,BIDU
828,,,0.0767,00851L103,2021-05-10,Sell,ARKW,AGORA INC,105162,API
829,,,0.0307,00783V104,2021-05-10,Sell,ARKW,ADYEN NV,38963,ADYEY
830,,,0.1617,00214Q500,2021-05-10,Buy,ARKX,THE 3D PRINTING ETF,28011,PRNT
831,,,0.1767,19260Q107,2021-05-07,Buy,ARKF,COINBASE GLOBAL INC,26000,COIN
832,,,0.7249,47215P106,2021-05-07,Buy,ARKF,JD.COM INC,366879,JD
833,,,0.1119,G9835C108,2021-05-07,Sell,ARKF,YEAHKA LTD,574000,9923HK
834,,,0.4394,82837P408,2021-05-07,Sell,ARKF,SILVERGATE CAPITAL CORP,176959,SI
835,,,0.0161,92337F107,2021-05-07,Buy,ARKG,VERACYTE INC,30590,VCYT
836,,,0.0095,65443P102,2021-05-07,Buy,ARKG,908 DEVICES INC,15890,MASS
837,,,0.1467,462222100,2021-05-07,Buy,ARKG,IONIS PHARMACEUTICALS INC,333215,IONS
838,,,0.0432,31189P102,2021-05-07,Buy,ARKG,FATE THERAPEUTICS INC,47898,FATE
839,,,0.0023,125842203,2021-05-07,Buy,ARKG,CM LIFE SCIENCES II INC,14914,CMIIU
840,,,0.0007,14167L103,2021-05-07,Buy,ARKG,CAREDX INC,800,CDNA
841,,,0.0317,874060205,2021-05-07,Sell,ARKG,TAKEDA PHARMACEUTICAL CO LTD,160100,TAK
842,,,0.0069,87184Q107,2021-05-07,Sell,ARKG,SYROS PHARMACEUTICALS INC,109554,SYRS
843,,,0.0493,771195104,2021-05-07,Sell,ARKG,ROCHE HOLDING AG,100000,RHHBY
844,,,0.0653,63009R109,2021-05-07,Sell,ARKG,NANOSTRING TECHNOLOGIES INC,83477,NSTG
845,,,0.1599,91332U101,2021-05-07,Buy,ARKK,UNITY SOFTWARE INC,362619,U
846,,,0.0907,26142R104,2021-05-07,Buy,ARKK,DRAFTKINGS INC,358860,DKNG
847,,,0.0096,90089L108,2021-05-07,Buy,ARKK,TUSIMPLE HOLDINGS INC,53150,TSP
848,,,0.0863,83067L109,2021-05-07,Buy,ARKK,SKILLZ INC,1114735,SKLZ
849,,,0.0393,52603B107,2021-05-07,Sell,ARKK,LENDINGTREE INC,42713,TREE
850,,,0.0457,74624M102,2021-05-07,Sell,ARKK,PURE STORAGE INC,503700,PSTG
851,,,0.0877,66987V109,2021-05-07,Sell,ARKK,NOVARTIS AG,205923,NVS
852,,,0.043,654445303,2021-05-07,Sell,ARKK,NINTENDO CO LTD,128581,NTDOY
853,,,0.1921,056752108,2021-05-07,Sell,ARKK,BAIDU INC,204671,BIDU
854,,,0.0052,G7000X105,2021-05-07,Buy,ARKQ,ONE,15841,AONE
855,,,0.0834,46269C102,2021-05-07,Buy,ARKQ,IRIDIUM COMMUNICATIONS INC,66394,IRDM
856,,,0.0842,50077B207,2021-05-07,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,95418,KTOS
857,,,0.3394,880770102,2021-05-07,Buy,ARKQ,TERADYNE INC,81331,TER
858,,,0.2841,98138J206,2021-05-07,Sell,ARKQ,WORKHORSE GROUP INC,898254,WKHS
859,,,0.3777,92766K106,2021-05-07,Sell,ARKQ,VIRGIN GALACTIC HOLDINGS INC,594209,SPCE
860,,,0.0381,63008G203,2021-05-07,Buy,ARKW,NANO DIMENSION LTD,340948,NNDM
861,,,0.2216,679295105,2021-05-07,Buy,ARKW,OKTA INC,54063,OKTA
862,,,0.1338,90184L102,2021-05-07,Buy,ARKW,TWITTER INC,145914,TWTR
863,,,0.391,22788C105,2021-05-07,Sell,ARKW,CROWDSTRIKE HOLDINGS INC,120016,CRWD
864,,,0.0418,72352L106,2021-05-07,Sell,ARKW,PINTEREST INC,41467,PINS
865,,,0.2524,G59669104,2021-05-07,Buy,ARKX,MEITUAN,44400,3690HK
866,,,0.0986,00214Q500,2021-05-07,Buy,ARKX,THE 3D PRINTING ETF,17160,PRNT
867,,,0.1992,244199105,2021-05-07,Sell,ARKX,DEERE & CO,3300,DE
868,,,0.5089,98954M200,2021-05-06,Buy,ARKF,ZILLOW GROUP INC,171630,Z
869,,,0.2532,90364P105,2021-05-06,Buy,ARKF,UIPATH INC,142701,PATH
870,,,0.496,58733R102,2021-05-06,Buy,ARKF,MERCADOLIBRE INC,13039,MELI
871,,,0.2697,47215P106,2021-05-06,Buy,ARKF,JD.COM INC,135542,JD
872,,,0.3847,090043100,2021-05-06,Buy,ARKF,BILL.COM HOLDINGS INC,113690,BILL
873,,,0.2455,45866F104,2021-05-06,Sell,ARKF,INTERCONTINENTAL EXCHANGE INC,82854,ICE
874,,,1.004,037833100,2021-05-06,Sell,ARKF,APPLE INC,298505,AAPL
875,,,0.2396,82837P408,2021-05-06,Sell,ARKF,SILVERGATE CAPITAL CORP,96600,SI
876,,,0.3607,57060D108,2021-05-06,Sell,ARKF,MARKETAXESS HOLDINGS INC,31552,MKTX
877,,,0.4874,40415F101,2021-05-06,Sell,ARKF,HDFC BANK LTD,265675,HDB
878,,,0.0656,80810D103,2021-05-06,Buy,ARKG,SCHRODINGER INC/UNITED STATES,83025,SDGR
879,,,0.023,760273102,2021-05-06,Buy,ARKG,REPARE THERAPEUTICS INC,60511,RPTX
880,,,0.2954,88025U109,2021-05-06,Buy,ARKG,10X GENOMICS INC,151909,TXG
881,,,0.0315,92337F107,2021-05-06,Buy,ARKG,VERACYTE INC,62700,VCYT
882,,,0.0235,65443P102,2021-05-06,Buy,ARKG,908 DEVICES INC,40346,MASS
883,,,0.1568,462222100,2021-05-06,Buy,ARKG,IONIS PHARMACEUTICALS INC,361351,IONS
884,,,0.1973,31189P102,2021-05-06,Buy,ARKG,FATE THERAPEUTICS INC,224009,FATE
885,,,0.022,125842203,2021-05-06,Buy,ARKG,CM LIFE SCIENCES II INC,140498,CMIIU
886,,,0.0617,14167L103,2021-05-06,Buy,ARKG,CAREDX INC,73000,CDNA
887,,,0.0385,00437E102,2021-05-06,Buy,ARKG,ACCOLADE INC,78046,ACCD
888,,,0.0015,86877M209,2021-05-06,Buy,ARKG,SURFACE ONCOLOGY INC,17400,SURF
889,,,0.0765,874060205,2021-05-06,Sell,ARKG,TAKEDA PHARMACEUTICAL CO LTD,392856,TAK
890,,,0.0062,87184Q107,2021-05-06,Sell,ARKG,SYROS PHARMACEUTICALS INC,96092,SYRS
891,,,0.5945,803607100,2021-05-06,Sell,ARKG,SAREPTA THERAPEUTICS INC,677028,SRPT
892,,,0.4786,771195104,2021-05-06,Sell,ARKG,ROCHE HOLDING AG,988183,RHHBY
893,,,0.0005,72940R300,2021-05-06,Sell,ARKG,PLURISTEM THERAPEUTICS INC,11653,PSTI
894,,,0.0199,71944F106,2021-05-06,Sell,ARKG,PHREESIA INC,34800,PHR
895,,,0.1065,63009R109,2021-05-06,Sell,ARKG,NANOSTRING TECHNOLOGIES INC,143100,NSTG
896,,,0.1707,83067L109,2021-05-06,Buy,ARKK,SKILLZ INC,2296224,SKLZ
897,,,0.3031,90138F102,2021-05-06,Buy,ARKK,TWILIO INC,199320,TWLO
898,,,0.1977,88025U109,2021-05-06,Buy,ARKK,10X GENOMICS INC,261566,TXG
899,,,0.1038,26142R104,2021-05-06,Buy,ARKK,DRAFTKINGS INC,405000,DKNG
900,,,0.2408,19260Q107,2021-05-06,Buy,ARKK,COINBASE GLOBAL INC,192872,COIN
901,,,0.0732,084310101,2021-05-06,Buy,ARKK,BERKELEY LIGHTS INC,316048,BLI
902,,,0.0342,91332U101,2021-05-06,Buy,ARKK,UNITY SOFTWARE INC,79432,U
903,,,0.14,77543R102,2021-05-06,Buy,ARKK,ROKU INC,101800,ROKU
904,,,0.0506,52603B107,2021-05-06,Sell,ARKK,LENDINGTREE INC,54279,TREE
905,,,0.2435,75886F107,2021-05-06,Sell,ARKK,REGENERON PHARMACEUTICALS INC,100348,REGN
906,,,0.7508,056752108,2021-05-06,Sell,ARKK,BAIDU INC,795956,BIDU
907,,,0.0248,654445303,2021-05-06,Sell,ARKK,NINTENDO CO LTD,72719,NTDOY
908,,,0.1002,66987V109,2021-05-06,Sell,ARKK,NOVARTIS AG,234800,NVS
909,,,0.0002,68620A203,2021-05-06,Sell,ARKK,ORGANOVO HOLDINGS INC,5939,ONVO
910,,,0.163,74624M102,2021-05-06,Sell,ARKK,PURE STORAGE INC,1816397,PSTG
911,,,0.4972,91332U101,2021-05-06,Buy,ARKQ,UNITY SOFTWARE INC,171802,U
912,,,0.6256,880770102,2021-05-06,Buy,ARKQ,TERADYNE INC,154474,TER
913,,,0.0377,G50740102,2021-05-06,Buy,ARKQ,JAWS SPITFIRE ACQUISITION CORP,115675,SPFR
914,,,0.0815,50077B207,2021-05-06,Buy,ARKQ,KRATOS DEFENSE & SECURITY SOLUTIONS INC,94171,KTOS
915,,,1.0012,47215P106,2021-05-06,Buy,ARKQ,JD.COM INC,401997,JD
916,,,0.0047,G7000X105,2021-05-06,Buy,ARKQ,ONE,14302,AONE
917,,,0.337,46269C102,2021-05-06,Buy,ARKQ,IRIDIUM COMMUNICATIONS INC,274700,IRDM
918,,,0.0107,30217C109,2021-05-06,Buy,ARKQ,EXPERIENCE INVESTMENT CORP,34916,EXPC
919,,,0.6127,98138J206,2021-05-06,Sell,ARKQ,WORKHORSE GROUP INC,1936693,WKHS
920,,,0.3035,46120E602,2021-05-06,Sell,ARKQ,INTUITIVE SURGICAL INC,11167,ISRG
921,,,0.3941,149123101,2021-05-06,Sell,ARKQ,CATERPILLAR INC,50443,CAT
922,,,0.7423,244199105,2021-05-06,Sell,ARKQ,DEERE & CO,58550,DE
923,,,0.3089,92766K106,2021-05-06,Sell,ARKQ,VIRGIN GALACTIC HOLDINGS INC,496600,SPCE
924,,,0.2323,500458401,2021-05-06,Sell,ARKQ,KOMATSU LTD,234500,KMTUY
925,,,0.5352,90184L102,2021-05-06,Buy,ARKW,TWITTER INC,593800,TWTR
926,,,0.7336,90138F102,2021-05-06,Buy,ARKW,TWILIO INC,142274,TWLO
927,,,0.0217,83067L109,2021-05-06,Buy,ARKW,SKILLZ INC,83896,SKLZ
928,,,0.2019,81141R100,2021-05-06,Buy,ARKW,SEA LTD,50399,SE
929,,,0.4085,70614W100,2021-05-06,Buy,ARKW,PELOTON INTERACTIVE INC,289535,PTON
930,,,0.3701,679295105,2021-05-06,Buy,ARKW,OKTA INC,93565,OKTA
931,,,0.1616,63008G203,2021-05-06,Buy,ARKW,NANO DIMENSION LTD,1480800,NNDM
932,,,0.1986,18915M107,2021-05-06,Buy,ARKW,CLOUDFLARE INC,164443,NET
933,,,0.978,72352L106,2021-05-06,Sell,ARKW,PINTEREST INC,995592,PINS
934,,,0.0238,00783V104,2021-05-06,Sell,ARKW,ADYEN NV,31000,ADYEY
935,,,0.5747,22788C105,2021-05-06,Sell,ARKW,CROWDSTRIKE HOLDINGS INC,185637,CRWD
936,,,1.105,31188V100,2021-05-06,Sell,ARKW,FASTLY INC,1464856,FSLY
937,,,0.4939,90364P105,2021-05-06,Buy,ARKX,UIPATH INC,47546,PATH
938,,,0.0926,00214Q500,2021-05-06,Buy,ARKX,THE 3D PRINTING ETF,16273,PRNT
939,,,0.4938,02079K107,2021-05-06,Sell,ARKX,ALPHABET INC,1349,GOOG
940,,,0.4938,879360105,2021-05-06,Sell,ARKX,TELEDYNE TECHNOLOGIES INC,7416,TDY
941,,,0.1429,30063P105,2021-05-05,Buy,ARKG,EXACT SCIENCES CORP,110016,EXAS
942,,,0.0632,462222100,2021-05-05,Buy,ARKG,IONIS PHARMACEUTICALS INC,128664,IONS
943,,,0.0022,65443P102,2021-05-05,Buy,ARKG,908 DEVICES INC,3834,MASS
944,,,0.1401,46185L103,2021-05-05,Buy,ARKG,INVITAE CORP,420955,NVTA
945,,,0.2065,87918A105,2021-05-05,Buy,ARKG,TELADOC HEALTH INC,114199,TDOC
946,,,0.0173,86877M209,2021-05-05,Buy,ARKG,SURFACE ONCOLOGY INC,206814,SURF
947,,,0.0146,760273102,2021-05-05,Buy,ARKG,REPARE THERAPEUTICS INC,39257,RPTX
948,,,0.0638,874060205,2021-05-05,Sell,ARKG,TAKEDA PHARMACEUTICAL CO LTD,335859,TAK
949,,,0.0006,87184Q107,2021-05-05,Sell,ARKG,SYROS PHARMACEUTICALS INC,9670,SYRS
950,,,0.2189,771195104,2021-05-05,Sell,ARKG,ROCHE HOLDING AG,469345,RHHBY
951,,,0.2529,75886F107,2021-05-05,Sell,ARKG,REGENERON PHARMACEUTICALS INC,45825,REGN
952,,,0.0,72940R300,2021-05-05,Sell,ARKG,PLURISTEM THERAPEUTICS INC,200,PSTI
953,,,0.0258,71944F106,2021-05-05,Sell,ARKG,PHREESIA INC,45913,PHR
954,,,0.1537,83067L109,2021-05-05,Buy,ARKK,SKILLZ INC,1968185,SKLZ
955,,,0.0305,90364P105,2021-05-05,Buy,ARKK,UIPATH INC,86264,PATH
956,,,0.1271,46185L103,2021-05-05,Buy,ARKK,INVITAE CORP,850971,NVTA
957,,,0.1516,26142R104,2021-05-05,Buy,ARKK,DRAFTKINGS INC,564976,DKNG
958,,,0.0237,90138F102,2021-05-05,Buy,ARKK,TWILIO INC,14362,TWLO
959,,,0.101,87918A105,2021-05-05,Buy,ARKK,TELADOC HEALTH INC,133812,TDOC
960,,,0.0594,52603B107,2021-05-05,Sell,ARKK,LENDINGTREE INC,63912,TREE
961,,,0.0522,871607107,2021-05-05,Sell,ARKK,SYNOPSYS INC,46131,SNPS
962,,,0.0721,74624M102,2021-05-05,Sell,ARKK,PURE STORAGE INC,819143,PSTG
963,,,0.255,056752108,2021-05-05,Sell,ARKK,BAIDU INC,266053,BIDU
964,,,0.0126,30217C109,2021-05-05,Buy,ARKQ,EXPERIENCE INVESTMENT CORP,39948,EXPC
965,,,0.1052,47215P106,2021-05-05,Buy,ARKQ,JD.COM INC,43044,JD
966,,,0.0923,92921W300,2021-05-05,Buy,ARKQ,VUZIX CORP,132097,VUZI
967,,,0.2425,879360105,2021-05-05,Sell,ARKQ,TELEDYNE TECHNOLOGIES INC,17659,TDY
968,,,0.2031,87918A105,2021-05-05,Buy,ARKW,TELADOC HEALTH INC,77794,TDOC
969,,,0.301,83067L109,2021-05-05,Buy,ARKW,SKILLZ INC,1166730,SKLZ
970,,,0.1498,26142R104,2021-05-05,Buy,ARKW,DRAFTKINGS INC,163452,DKNG
971,,,0.1949,70614W100,2021-05-05,Buy,ARKW,PELOTON INTERACTIVE INC,140904,PTON
972,,,0.7073,056752108,2021-05-05,Sell,ARKW,BAIDU INC,219674,BIDU
973,,,0.0153,00783V104,2021-05-05,Sell,ARKW,ADYEN NV,19900,ADYEY
974,,,0.1544,88339J105,2021-05-05,Sell,ARKW,TRADE DESK INC/THE,14673,TTD
975,,,0.1361,G85158106,2021-05-04,Buy,ARKF,STONECO LTD,86474,STNE
976,,,0.3257,45866F104,2021-05-04,Sell,ARKF,INTERCONTINENTAL EXCHANGE INC,114013,ICE
977,,,0.0148,98985X100,2021-05-04,Buy,ARKG,ZYMERGEN INC,31665,ZY
978,,,0.0051,760273102,2021-05-04,Buy,ARKG,REPARE THERAPEUTICS INC,14201,RPTX
979,,,0.0631,75629V104,2021-05-04,Buy,ARKG,RECURSION PHARMACEUTICALS INC,178177,RXRX
980,,,0.0319,65443P102,2021-05-04,Buy,ARKG,908 DEVICES INC,56000,MASS
981,,,0.0253,125842203,2021-05-04,Buy,ARKG,CM LIFE SCIENCES II INC,170222,CMIIU
982,,,0.2281,462222100,2021-05-04,Buy,ARKG,IONIS PHARMACEUTICALS INC,482340,IONS
983,,,0.0627,771195104,2021-05-04,Sell,ARKG,ROCHE HOLDING AG,138868,RHHBY
984,,,0.0066,72940R300,2021-05-04,Sell,ARKG,PLURISTEM THERAPEUTICS INC,142600,PSTI
985,,,0.0132,71944F106,2021-05-04,Sell,ARKG,PHREESIA INC,24300,PHR
986,,,0.0845,883556102,2021-05-04,Sell,ARKG,THERMO FISHER SCIENTIFIC INC,16399,TMO
987,,,0.0603,74624M102,2021-05-04,Sell,ARKG,PURE STORAGE INC,287553,PSTG
988,,,0.0672,90364P105,2021-05-04,Buy,ARKK,UIPATH INC,200133,PATH
989,,,0.1512,69608A108,2021-05-04,Buy,ARKK,PALANTIR TECHNOLOGIES INC,1514080,PLTR
990,,,0.2122,83067L109,2021-05-04,Buy,ARKK,SKILLZ INC,2717021,SKLZ
991,,,0.1045,87918A105,2021-05-04,Buy,ARKK,TELADOC HEALTH INC,143204,TDOC
992,,,0.1871,90138F102,2021-05-04,Buy,ARKK,TWILIO INC,118513,TWLO
993,,,0.0216,46269C102,2021-05-04,Buy,ARKK,IRIDIUM COMMUNICATIONS INC,125700,IRDM
994,,,0.1476,26142R104,2021-05-04,Buy,ARKK,DRAFTKINGS INC,576603,DKNG
995,,,0.035,07373V105,2021-05-04,Buy,ARKK,BEAM THERAPEUTICS INC,103836,BEAM
996,,,0.253,19260Q107,2021-05-04,Buy,ARKK,COINBASE GLOBAL INC,192374,COIN
997,,,0.0039,084310101,2021-05-04,Buy,ARKK,BERKELEY LIGHTS INC,17565,BLI
998,,,0.1012,30063P105,2021-05-04,Sell,ARKK,EXACT SCIENCES CORP,187662,EXAS
999,,,0.0511,52603B107,2021-05-04,Sell,ARKK,LENDINGTREE INC,55962,TREE
1000,,,0.5409,056752108,2021-05-04,Sell,ARKK,BAIDU INC,580600,BIDU
1001,,,0.3018,852234103,2021-05-04,Sell,ARKK,SQUARE INC,280691,SQ
1002,,,0.0947,871607107,2021-05-04,Sell,ARKK,SYNOPSYS INC,86057,SNPS
1003,,,0.0353,74624M102,2021-05-04,Sell,ARKK,PURE STORAGE INC,402220,PSTG
1004,,,0.0518,693718108,2021-05-04,Sell,ARKK,PACCAR INC,123637,PCAR
1005,,,0.0872,92921W300,2021-05-04,Buy,ARKQ,VUZIX CORP,132900,VUZI
1006,,,0.1946,91332U101,2021-05-04,Buy,ARKQ,UNITY SOFTWARE INC,65753,U
1007,,,0.3031,47215P106,2021-05-04,Buy,ARKQ,JD.COM INC,125242,JD
1008,,,0.0221,G3770A102,2021-05-04,Buy,ARKQ,GALILEO ACQUISITION CORP,68590,GLEO
1009,,,0.5386,879360105,2021-05-04,Sell,ARKQ,TELEDYNE TECHNOLOGIES INC,38978,TDY
1010,,,0.0699,88032Q109,2021-05-04,Buy,ARKW,TENCENT HOLDINGS LTD,55665,TCEHY
1011,,,0.1024,19260Q107,2021-05-04,Buy,ARKW,COINBASE GLOBAL INC,22735,COIN
1012,,,0.0977,83067L109,2021-05-04,Buy,ARKW,SKILLZ INC,354633,SKLZ
1013,,,0.2012,056752108,2021-05-04,Sell,ARKW,BAIDU INC,62637,BIDU
1014,,,0.0735,82837P408,2021-05-04,Sell,ARKW,SILVERGATE CAPITAL CORP,46200,SI
1015,,,0.0335,00783V104,2021-05-04,Sell,ARKW,ADYEN NV,45000,ADYEY
1016,,,0.4176,722304102,2021-05-03,Buy,ARKF,PINDUODUO INC,126988,PDD
1017,,,0.3616,G85158106,2021-05-03,Buy,ARKF,STONECO LTD,232931,STNE
1018,,,0.5062,45866F104,2021-05-03,Sell,ARKF,INTERCONTINENTAL EXCHANGE INC,178580,ICE
1019,,,0.0237,760273102,2021-05-03,Buy,ARKG,REPARE THERAPEUTICS INC,68712,RPTX
1020,,,0.0414,75629V104,2021-05-03,Buy,ARKG,RECURSION PHARMACEUTICALS INC,117874,RXRX
1021,,,0.1188,90364P105,2021-05-03,Buy,ARKG,UIPATH INC,161622,PATH
